TCode,Duration (sec),Direction,Name,Final_Arrival,Initial_Departure,Total_Trip_Duration_mins
T010,83.0,Walk to Como Ave & Eustis St,Como & Eustis,7:31am,6:58am,33.0
T010,780.0,Bus towards Westbound 3 Dwtn Mpls / Target Field,Como & Eustis,7:31am,6:58am,33.0
T010,113.0,Walk to Cedar Ave S & Washington Ave (15th Ave),Como & Eustis,7:31am,6:58am,33.0
T010,540.0,Bus towards Northbound 22C N Lyndale/Via Dupont-57/Brklyn Ctr T,Como & Eustis,7:31am,6:58am,33.0
T010,134.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Como & Eustis,7:31am,6:58am,33.0
T028,21.0,Walk to Normandale Village & P&R,Normandale Village,7:40am,7:00am,40.0
T028,2340.0,Bus towards Northbound 589 Express / Minneapolis,Normandale Village,7:40am,7:00am,40.0
T032,20.0,Walk to 94th St W & St Edward Church P&R,St. Edward's Catholic Church,7:40am,7:06am,34.0
T032,1980.0,Bus towards Northbound 589 Express / Minneapolis,St. Edward's Catholic Church,7:40am,7:06am,34.0
T040,204.0,Walk to Co Rd 73 P&R & A Bay,Co Rd 73 & I-394 South,7:44am,7:21am,23.0
T040,1140.0,Bus towards Eastbound 673 Express / Downtown,Co Rd 73 & I-394 South,7:44am,7:21am,23.0
T042,84.0,Walk to Minnetonka Blvd & Baker Rd (Co Rd 60),Minnetonka Blvd & Baker Rd,7:43am,7:13am,30.0
T042,1680.0,Bus towards Eastbound 671 Express / Downtown,Minnetonka Blvd & Baker Rd,7:43am,7:13am,30.0
T043,29.0,Walk to Minnetonka Blvd & Steele St P&R,Minnetonka Blvd & Steele St,7:43am,7:09am,34.0
T043,1980.0,Bus towards Eastbound 671 Express / Downtown,Minnetonka Blvd & Steele St,7:43am,7:09am,34.0
T057,119.0,Walk to Water St & 2nd St,Excelsior City Hall,7:43am,6:50am,53.0
T057,3060.0,Bus towards Eastbound 671 Express / Downtown,Excelsior City Hall,7:43am,6:50am,53.0
T081,8.0,Walk to Cedar Lake Rd & Westwood Church P&R,Westwood Lutheran Church,7:32am,7:03am,29.0
T081,1440.0,Bus towards Eastbound 663 Express / Downtown,Westwood Lutheran Church,7:32am,7:03am,29.0
T081,261.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Westwood Lutheran Church,7:32am,7:03am,29.0
T082,23.0,Walk to Little Canada Rd & McMenemy St,Little Canada Municipal Lot,7:29am,6:18am,71.0
T082,1680.0,Bus towards Southbound 71A Downtown / Chester St,Little Canada Municipal Lot,7:29am,6:18am,71.0
T082,91.0,Walk to 6th St & Jackson / Robert,Little Canada Municipal Lot,7:29am,6:18am,71.0
T082,1380.0,Bus towards Westbound 94 Express / Downtown / Minneapolis,Little Canada Municipal Lot,7:29am,6:18am,71.0
T082,134.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Little Canada Municipal Lot,7:29am,6:18am,71.0
T098,19.0,Walk to Silver Lake Rd & 5th St NW,Salem Covenant Church,7:42am,7:06am,36.0
T098,1920.0,Bus towards Southbound 825 Ltd Stop / Downtown,Salem Covenant Church,7:42am,7:06am,36.0
T098,134.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Salem Covenant Church,7:42am,7:06am,36.0
T110,175.0,Walk to 42nd Ave N & Welcome Ave / Hwy 100,Faith-Lilac Way Lutheran Church,7:26am,7:01am,25.0
T110,1080.0,Bus towards Southbound 764 Express / Downtown,Faith-Lilac Way Lutheran Church,7:26am,7:01am,25.0
T110,261.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Faith-Lilac Way Lutheran Church,7:26am,7:01am,25.0
T114,212.0,Walk to Shadywood Rd (Co Rd 19) & Shoreline Dr,Navarre Center,7:43am,6:40am,63.0
T114,3540.0,Bus towards Eastbound 671 Express / Downtown,Navarre Center,7:43am,6:40am,63.0
T130,38.0,Walk to Wayzata Blvd P&R & Gate B,Wayzata Blvd & Barry Ave,7:44am,7:18am,26.0
T130,1500.0,Bus towards Eastbound 674 Express / Downtown,Wayzata Blvd & Barry Ave,7:44am,7:18am,26.0
T140,238.0,Walk to Co Rd H P&R & Mounds View Blvd / I-35W,Mermaid Supper Club,7:40am,7:09am,31.0
T140,1500.0,Bus towards Southbound 250 Express / Co Rd H P&R / Downtown,Mermaid Supper Club,7:40am,7:09am,31.0
T140,151.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Mermaid Supper Club,7:40am,7:09am,31.0
T142,102.0,Walk to West River Rd & 117th Ave P&R,West River Rd & 117th Ave,7:44am,7:01am,43.0
T142,2400.0,Bus towards Southbound 766 Downtown / Cartway Rd / Noble-97Av,West River Rd & 117th Ave,7:44am,7:01am,43.0
T142,97.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",West River Rd & 117th Ave,7:44am,7:01am,43.0
T143,1920.0,Bus towards Southbound 782 Trip 3 / Maple Grove / To Mpls,Zachary Square,7:22am,6:49am,33.0
T143,97.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Zachary Square,7:22am,6:49am,33.0
T145,500.0,Walk to Woodbury Theatre & P&R - Leave,Christ Episcopal Church,7:43am,6:51am,52.0
T145,2460.0,Bus towards Westbound 355 Express / Minneapolis,Christ Episcopal Church,7:43am,6:51am,52.0
T145,134.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Christ Episcopal Church,7:43am,6:51am,52.0
T152,35.0,Walk to Blackhawk Park & Ride,Blackhawk,7:35am,7:00am,35.0
T152,2040.0,Bus towards 472 Minneapolis,Blackhawk,7:35am,7:00am,35.0
T152,33.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Blackhawk,7:35am,7:00am,35.0
T155,195.0,Walk to Hwy 252 & 73rd Ave N,Church of Nazarene,7:44am,7:20am,24.0
T155,1140.0,Bus towards Southbound 766 Downtown / Cartway Rd / Noble-97Av,Church of Nazarene,7:44am,7:20am,24.0
T155,97.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Church of Nazarene,7:44am,7:20am,24.0
T158,1800.0,Bus towards Eastbound 668 Express / Downtown,Hwy 7 & Texas Ave,7:41am,7:11am,30.0
T161,1500.0,Bus towards Southbound 250 Express / Co Rd H P&R / Downtown,I-35W & Co Rd H,7:40am,7:13am,27.0
T161,151.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",I-35W & Co Rd H,7:40am,7:13am,27.0
T173,200.0,Walk to Hwy 61 & Lower Afton P&R,Hwy 61 & Lower Afton Rd,7:43am,7:05am,38.0
T173,1860.0,Bus towards Northbound 365 Express / Minneapolis,Hwy 61 & Lower Afton Rd,7:43am,7:05am,38.0
T173,134.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Hwy 61 & Lower Afton Rd,7:43am,7:05am,38.0
T177,68.0,Walk to Eagle Lake Rd & Shepherd of the Grove P&R,Shepherd of the Grove Church,7:42am,7:12am,30.0
T177,1680.0,Bus towards Southbound 780 Trip 3/Maple Grove/To Mpls,Shepherd of the Grove Church,7:42am,7:12am,30.0
T177,97.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Shepherd of the Grove Church,7:42am,7:12am,30.0
T180,30.0,Walk to Interstate 394 En & Gen Mills Blvd P&R,General Mills Blvd & I-394,7:38am,7:13am,25.0
T180,1440.0,Bus towards Eastbound 645 Ltd Stop / Minneapolis,General Mills Blvd & I-394,7:38am,7:13am,25.0
T187,26.0,Walk to St Josephs P&R & #171 Elm St,St. Joseph's Church,7:16am,6:25am,51.0
T187,2880.0,Bus towards Southbound 250 Express / Downtown,St. Joseph's Church,7:16am,6:25am,51.0
T187,151.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",St. Joseph's Church,7:16am,6:25am,51.0
T191,142.0,Walk to Shoreview Community Center & Victoria Dr,Shoreview Community Center,7:17am,6:29am,48.0
T191,2580.0,Bus towards Southbound 261 Express / Dwtn Mpls,Shoreview Community Center,7:17am,6:29am,48.0
T191,151.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Shoreview Community Center,7:17am,6:29am,48.0
T195,100.0,Walk to Wayzata Blvd S & Park Place Blvd,Park Place & I-394,7:38am,7:21am,17.0
T195,840.0,Bus towards Eastbound 645 Ltd Stop / Minneapolis,Park Place & I-394,7:38am,7:21am,17.0
T198,4.0,Walk to Pennock Av at Palomino Hills E corner,Palomino Hills,7:38am,7:04am,34.0
T198,1980.0,Bus towards 476 Minneapolis,Palomino Hills,7:38am,7:04am,34.0
T198,33.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Palomino Hills,7:38am,7:04am,34.0
T199,143.0,Walk to Old Shakopee Rd & St Lukes P&R,St. Luke's Lutheran Church,7:37am,7:04am,33.0
T199,1740.0,Bus towards Northbound 597 Express / Minneapolis,St. Luke's Lutheran Church,7:37am,7:04am,33.0
T199,54.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",St. Luke's Lutheran Church,7:37am,7:04am,33.0
T201,3360.0,Bus towards Southbound 766 Downtown / Cartway Rd / Noble-97Av,Richardson Park,7:44am,6:47am,57.0
T201,97.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Richardson Park,7:44am,6:47am,57.0
T204,144.0,Walk to Foley P&R Arrive & Evergreen Blvd,Foley Blvd,7:40am,7:11am,29.0
T204,1380.0,Bus towards Southbound 850 Express / Foley P&R / Dntn Mpls,Foley Blvd,7:40am,7:11am,29.0
T204,198.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Foley Blvd,7:40am,7:11am,29.0
T205,792.0,Walk to Hwy 61 & Beam Ave,Hwy 61 & Co Rd C,7:39am,6:52am,47.0
T205,1860.0,Bus towards Westbound 270 Express / Minneapolis,Hwy 61 & Co Rd C,7:39am,6:52am,47.0
T205,151.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Hwy 61 & Co Rd C,7:39am,6:52am,47.0
T209,35.0,Walk to Delton Ave & Vine Hill Rd P&R,Hwy 7 & Vinehill Rd,7:42am,6:51am,51.0
T209,3000.0,Bus towards Eastbound 670 Express/Dt Mpls,Hwy 7 & Vinehill Rd,7:42am,6:51am,51.0
T210,20.0,Walk to Brooklyn Blvd P&R & 65th Ave N,65th Ave & Brooklyn Blvd,7:42am,7:20am,22.0
T210,1200.0,Bus towards Southbound 760 Express / Downtown,65th Ave & Brooklyn Blvd,7:42am,7:20am,22.0
T210,97.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",65th Ave & Brooklyn Blvd,7:42am,7:20am,22.0
T215,25.0,Walk to Crosswinds P&R & Weaver Lake Rd,Crosswinds Methodist Church,7:18am,6:46am,32.0
T215,1800.0,Bus towards Southbound 783 Trip 3 / Maple Grove / To Mpls,Crosswinds Methodist Church,7:18am,6:46am,32.0
T215,97.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Crosswinds Methodist Church,7:18am,6:46am,32.0
T217,76.0,Walk to 95th Ave P&R,I-35W & 95th Ave,7:41am,7:06am,35.0
T217,1860.0,Bus towards Southbound 250 Express / Downtown,I-35W & 95th Ave,7:41am,7:06am,35.0
T217,151.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",I-35W & 95th Ave,7:41am,7:06am,35.0
T219,97.0,Walk to Oakdale Ave & Wentworth Ave,West St Paul Sports Complex,7:44am,7:09am,35.0
T219,1860.0,Bus towards Westbound 452 Express / Minneapolis,West St Paul Sports Complex,7:44am,7:09am,35.0
T219,134.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",West St Paul Sports Complex,7:44am,7:09am,35.0
T222,564.0,Walk to Woodbury Theatre & P&R - Leave,Woodbury Lutheran Church,7:43am,6:50am,53.0
T222,2460.0,Bus towards Westbound 355 Express / Minneapolis,Woodbury Lutheran Church,7:43am,6:50am,53.0
T222,134.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Woodbury Lutheran Church,7:43am,6:50am,53.0
T223,41.0,Walk to St Croix Rec Center & P&R Shelter,St Croix Valley Recreation Center,7:14am,6:01am,73.0
T223,2220.0,Bus towards Westbound 294 Express / St Paul,St Croix Valley Recreation Center,7:14am,6:01am,73.0
T223,1380.0,Bus towards Westbound 94 Express / Downtown / Minneapolis,St Croix Valley Recreation Center,7:14am,6:01am,73.0
T223,134.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",St Croix Valley Recreation Center,7:14am,6:01am,73.0
T228,250.0,Walk to Hwy 610 Noble Pkwy P&R Arrive & 95th Ave N,Hwy 610 & Noble,7:33am,7:00am,33.0
T228,1620.0,Bus towards Southbound 768 Express / Downtown,Hwy 610 & Noble,7:33am,7:00am,33.0
T228,97.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Hwy 610 & Noble,7:33am,7:00am,33.0
T229,40.0,Walk to Woodbury Theatre & P&R - Leave,Woodbury Theatre,7:43am,6:59am,44.0
T229,2460.0,Bus towards Westbound 355 Express / Minneapolis,Woodbury Theatre,7:43am,6:59am,44.0
T229,134.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Woodbury Theatre,7:43am,6:59am,44.0
T230,606.0,Walk to Bloomington Ferry Rd & Veness Rd (Ensign),Preserve Village Mall,7:40am,6:33am,67.0
T230,3360.0,Bus towards Northbound 589 Express / Minneapolis,Preserve Village Mall,7:40am,6:33am,67.0
T231,128.0,Walk to Coon Rapids Riverdale Station & Gate C,Coon Rapids/Riverdale Station,7:43am,6:49am,54.0
T231,960.0,Bus towards Southbound 860 Express/St Paul/Northtown,Coon Rapids/Riverdale Station,7:43am,6:49am,54.0
T231,1560.0,Bus towards Southbound 854 Express / Downtown Mpls,Coon Rapids/Riverdale Station,7:43am,6:49am,54.0
T231,198.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Coon Rapids/Riverdale Station,7:43am,6:49am,54.0
T232,92.0,Walk to Savage Park & Ride,Co Rd 42 & Huntington,7:39am,6:59am,40.0
T232,2280.0,Bus towards 464 Minneapolis,Co Rd 42 & Huntington,7:39am,6:59am,40.0
T232,33.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Co Rd 42 & Huntington,7:39am,6:59am,40.0
T242,6.0,Walk to Cnty Rd 6 & St Philip P&R,St. Philip's Park & Ride,7:22am,6:44am,38.0
T242,2160.0,Bus towards Eastbound 776 Olive Ln/Marquette & Washington,St. Philip's Park & Ride,7:22am,6:44am,38.0
T242,102.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",St. Philip's Park & Ride,7:22am,6:44am,38.0
T244,177.0,Walk to Elk River Station - Platform,Elk River Station,7:37am,6:25am,72.0
T244,1380.0,Train towards Southbound Northstar / Minneapolis / Target Field,Elk River Station,7:37am,6:25am,72.0
T244,417.0,Walk to University Ave & 61st Ave NE,Elk River Station,7:37am,6:25am,72.0
T244,1080.0,Bus towards Southbound 854 Express / Downtown Mpls,Elk River Station,7:37am,6:25am,72.0
T244,198.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Elk River Station,7:37am,6:25am,72.0
T245,74.0,Walk to Cottage Grove & P&R - Arrive,Cottage Grove,7:43am,6:47am,56.0
T245,3120.0,Bus towards Northbound 365 Express / Minneapolis,Cottage Grove,7:43am,6:47am,56.0
T245,134.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Cottage Grove,7:43am,6:47am,56.0
T247,19.0,Walk to Maple Grove Transit Station,Maple Grove Transit Station,7:43am,7:14am,29.0
T247,1620.0,Bus towards Southbound 781 Trip 12 / Maple Grove / To Mpls,Maple Grove Transit Station,7:43am,7:14am,29.0
T247,97.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Maple Grove Transit Station,7:43am,7:14am,29.0
T248,55.0,Walk to Hadley Ave N & Upper 17th St N,Walton Park,7:14am,6:19am,55.0
T248,1200.0,Bus towards Westbound 294 Express / St Paul,Walton Park,7:14am,6:19am,55.0
T248,1380.0,Bus towards Westbound 94 Express / Downtown / Minneapolis,Walton Park,7:14am,6:19am,55.0
T248,134.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Walton Park,7:14am,6:19am,55.0
T251,120.0,Walk to 82nd St E & 28th Ave S,28th Ave Station,7:41am,6:42am,59.0
T251,120.0,Bus towards Eastbound 539 98St / Mall of Amer,28th Ave Station,7:41am,6:42am,59.0
T251,780.0,Bus towards Westbound 542A American / Norman Ctr,28th Ave Station,7:41am,6:42am,59.0
T251,58.0,Walk to 76th St W & Knox Ave S,28th Ave Station,7:41am,6:42am,59.0
T251,1560.0,Bus towards Northbound 535 Ltd Stop / Via 77St / Minneapolis,28th Ave Station,7:41am,6:42am,59.0
T251,54.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",28th Ave Station,7:41am,6:42am,59.0
T253,1198.0,Walk to Veterans Dr & VA Medical Center Station,Ft Snelling Station South,7:31am,6:19am,72.0
T253,3000.0,Bus towards Northbound 22C N Lyndale/Via Dupont-57/Brklyn Ctr T,Ft Snelling Station South,7:31am,6:19am,72.0
T253,134.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Ft Snelling Station South,7:31am,6:19am,72.0
T256,68.0,Walk to MN Dot P&R & Lilac Dr,Hwy 100 & Duluth,7:29am,7:07am,22.0
T256,960.0,Bus towards Southbound 758 Express / Downtown,Hwy 100 & Duluth,7:29am,7:07am,22.0
T256,261.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Hwy 100 & Duluth,7:29am,7:07am,22.0
T258,74.0,Walk to Pillsbury Av at Heart of the City P&R E corner,Heart of the City,7:42am,7:10am,32.0
T258,1800.0,Bus towards 464 MINNEAPOLIS via HOC,Heart of the City,7:42am,7:10am,32.0
T258,33.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Heart of the City,7:42am,7:10am,32.0
T261,107.0,Walk to Knox Ave S - Knox Ave P&R,Knox Avenue at Best Buy,7:41am,7:11am,30.0
T261,1620.0,Bus towards Northbound 535 Ltd Stop / Via 77St / Minneapolis,Knox Avenue at Best Buy,7:41am,7:11am,30.0
T261,54.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Knox Avenue at Best Buy,7:41am,7:11am,30.0
T262,88.0,Walk to 3rd St N & Guardian Angels P&R,Guardian Angels Catholic Church,7:42am,7:02am,40.0
T262,2160.0,Bus towards Westbound 375 Express / Minneapolis,Guardian Angels Catholic Church,7:42am,7:02am,40.0
T262,134.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Guardian Angels Catholic Church,7:42am,7:02am,40.0
T266,123.0,Walk to University Ave & 61st Ave NE,Church of St. William,7:43am,7:19am,24.0
T266,1080.0,Bus towards Southbound 854 Express / Downtown Mpls,Church of St. William,7:43am,7:19am,24.0
T266,198.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Church of St. William,7:43am,7:19am,24.0
T268,939.0,Walk to 63rd Ave N & Zane Ave N,63rd Ave & Bottineau Blvd,7:42am,6:58am,44.0
T268,1620.0,Bus towards Southbound 760 Express / Downtown,63rd Ave & Bottineau Blvd,7:42am,6:58am,44.0
T268,97.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",63rd Ave & Bottineau Blvd,7:42am,6:58am,44.0
T269,388.0,Walk to Hwy 252 & 66th Ave N,Hwy 252 & 66th Ave,7:44am,7:20am,24.0
T269,960.0,Bus towards Southbound 766 Downtown / Cartway Rd / Noble-97Av,Hwy 252 & 66th Ave,7:44am,7:20am,24.0
T269,97.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Hwy 252 & 66th Ave,7:44am,7:20am,24.0
T271,21.0,Walk to Grace Church P&R,Grace Church,7:35am,7:10am,25.0
T271,1320.0,Bus towards Southbound 261 Express / Dwtn Mpls,Grace Church,7:35am,7:10am,25.0
T271,151.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Grace Church,7:35am,7:10am,25.0
T272,39.0,Walk to Civic Center Dr & Skating Center P&R,Skating Center,7:35am,7:05am,30.0
T272,1620.0,Bus towards Southbound 261 Express / Dwtn Mpls,Skating Center,7:35am,7:05am,30.0
T272,151.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Skating Center,7:35am,7:05am,30.0
T278,273.0,Walk to Southbridge Crossings Park & Ride,Southbridge Crossing,7:43am,6:56am,47.0
T278,2520.0,Bus towards 490U Minneapolis/Shakopee/Univ of Minn,Southbridge Crossing,7:43am,6:56am,47.0
T278,33.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Southbridge Crossing,7:43am,6:56am,47.0
T284,26.0,Walk to Ramsey Station & Platform,Ramsey Station,7:37am,6:33am,64.0
T284,1020.0,Train towards Southbound Northstar / Minneapolis / Target Field,Ramsey Station,7:37am,6:33am,64.0
T284,417.0,Walk to University Ave & 61st Ave NE,Ramsey Station,7:37am,6:33am,64.0
T284,1080.0,Bus towards Southbound 854 Express / Downtown Mpls,Ramsey Station,7:37am,6:33am,64.0
T284,198.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Ramsey Station,7:37am,6:33am,64.0
T285,170.0,Walk to Technology Dr & St Andrew Lutheran,St Andrew Lutheran Church,7:38am,7:05am,33.0
T285,1740.0,Bus towards Eastbound 690E Express/E Bd/ EP Loop/SW Sta/Mpls,St Andrew Lutheran Church,7:38am,7:05am,33.0
T285,102.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",St Andrew Lutheran Church,7:38am,7:05am,33.0
T287,54.0,Walk to Interstate 35 Ramp & Kenrick Ave P&R,I-35 & Kenrick Ave,7:39am,7:01am,38.0
T287,2220.0,Bus towards Northbound 467 Express / Minneapolis,I-35 & Kenrick Ave,7:39am,7:01am,38.0
T290,27.0,Walk to I-35W / County Road C Park and Ride,I-35W & Co Rd C,7:30am,7:07am,23.0
T290,1200.0,Bus towards Southbound 264C Express/35 Co Rd C P&R/Minneapolis,I-35W & Co Rd C,7:30am,7:07am,23.0
T290,151.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",I-35W & Co Rd C,7:30am,7:07am,23.0
T291,90.0,Walk to 45th Ave N & Nathan Lane,Nathan Lane,7:39am,6:59am,40.0
T291,2220.0,Bus towards Eastbound 790 Express / Nathan Ln / Downtown,Nathan Lane,7:39am,6:59am,40.0
T291,102.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Nathan Lane,7:39am,6:59am,40.0
T292,140.0,Walk to SouthWest Village P&R & Great Plains Blvd,SouthWest Village,7:29am,6:52am,37.0
T292,1980.0,Bus towards Eastbound 699E Express/EB/E Crk/SW Vill/MPLS,SouthWest Village,7:29am,6:52am,37.0
T292,102.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",SouthWest Village,7:29am,6:52am,37.0
T293,19.0,Walk to Running Aces P&R & Zurich / Lake,Running Aces,7:42am,6:53am,49.0
T293,2760.0,Bus towards Southbound 288 Express / Minneapolis,Running Aces,7:42am,6:53am,49.0
T293,151.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Running Aces,7:42am,6:53am,49.0
T294,39.0,Walk to Transit Center & Forest Lake P&R,Forest Lake Transit Center,7:42am,6:40am,62.0
T294,3540.0,Bus towards Southbound 288 Express / Minneapolis,Forest Lake Transit Center,7:42am,6:40am,62.0
T294,151.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Forest Lake Transit Center,7:42am,6:40am,62.0
T297,69.0,Walk to East Creek Transit Station,East Creek Station,7:29am,6:48am,41.0
T297,2280.0,Bus towards Eastbound 697 Express/E Bd/Carver/East Creek/Mpls,East Creek Station,7:29am,6:48am,41.0
T297,102.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",East Creek Station,7:29am,6:48am,41.0
T298,1034.0,Walk to Main St & 3rd Ave,Anoka Station,7:40am,6:31am,69.0
T298,2880.0,Bus towards Southbound 850 Express / Foley P&R / Dntn Mpls,Anoka Station,7:40am,6:31am,69.0
T298,198.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Anoka Station,7:40am,6:31am,69.0
T299,444.0,Walk to University Ave & 61st Ave NE,Fridley Station,7:43am,7:14am,29.0
T299,1080.0,Bus towards Southbound 854 Express / Downtown Mpls,Fridley Station,7:43am,7:14am,29.0
T299,198.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Fridley Station,7:43am,7:14am,29.0
T300,63.0,Walk to Big Lake Station & Platform,Big Lake Station,7:37am,6:16am,81.0
T300,1980.0,Train towards Southbound Northstar / Minneapolis / Target Field,Big Lake Station,7:37am,6:16am,81.0
T300,417.0,Walk to University Ave & 61st Ave NE,Big Lake Station,7:37am,6:16am,81.0
T300,1080.0,Bus towards Southbound 854 Express / Downtown Mpls,Big Lake Station,7:37am,6:16am,81.0
T300,198.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Big Lake Station,7:37am,6:16am,81.0
T301,52.0,Walk to Parkway Station - P&R,Parkway Station,7:36am,6:59am,37.0
T301,2100.0,Bus towards Southbound 785 Trip 6/Maple Grove/To Mpls,Parkway Station,7:36am,6:59am,37.0
T301,97.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Parkway Station,7:36am,6:59am,37.0
T302,130.0,Walk to Hwy 36 & Rice St P&R & Shelter,Hwy 36 & Rice St,7:29am,6:57am,32.0
T302,1620.0,Bus towards Southbound 263 Express / Dwtn Mpls,Hwy 36 & Rice St,7:29am,6:57am,32.0
T302,151.0,"Walk to S 2nd St, Minneapolis, MN 55402, USA",Hwy 36 & Rice St,7:29am,6:57am,32.0
T303,129.0,Walk to Maple Plain P&R & Baker Park Rd,Maple Plain,7:44am,6:44am,60.0
T303,3420.0,Bus towards Eastbound 674 Express / Downtown,Maple Plain,7:44am,6:44am,60.0
T304,154.0,Walk to Interstate 35E Co Rd 14 P&R & 21st Ave N,I-35E & County Road 14,7:14am,6:00am,74.0
T304,2160.0,Bus towards Southbound 275 Express / St Paul,I-35E & County Road 14,7:14am,6:00am,74.0
